Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2310665;MP       ;319;0;AF           ;AF                ;7637;23/06/2016;19:45;MC               ;BOD      ;AF           ;AF                ;1694;23/06/2016;20:45;MC               ;BUD
2310666;MP       ;320;1;AF           ;AF                ;487;23/06/2016;05:30;LC               ;AMM      ;AF           ;AF                ;1620;23/06/2016;10:50;MC               ;TLV
2310667;MP       ;321;0;AF           ;AF                ;7725;23/06/2016;12:30;MC               ;NTE      ;AF           ;AF                ;1622;23/06/2016;13:25;MC               ;MUC
2310668;3N       ;E70          ;0;A5           ;AF                ;7655;23/06/2016;12:30;MC               ;BIQ      ;A5           ;AF                ;1638;23/06/2016;13:15;MC               ;HAJ
2310669;MP       ;321;0;AF           ;AF                ;1241;23/06/2016;10:45;MC               ;AMS      ;AF           ;AF                ;1640;23/06/2016;11:40;MC               ;AMS
2310670;MP       ;321;0;AF           ;AF                ;7621;23/06/2016;07:40;MC               ;BOD      ;AF           ;AF                ;1642;23/06/2016;08:30;MC               ;GVA
2310671;MP       ;321;0;AF           ;AF                ;1643;23/06/2016;11:40;MC               ;GVA      ;AF           ;AF                ;1648;23/06/2016;12:35;MC               ;BCN
2310672;MP       ;320;0;AF           ;AF                ;1013;23/06/2016;17:20;MC               ;LIN      ;AF           ;AF                ;1582;23/06/2016;18:15;MC               ;PRG
2310673;MP       ;321;0;AF           ;AF                ;1149;23/06/2016;12:10;MC               ;BCN      ;AF           ;AF                ;1624;23/06/2016;13:20;MC               ;LIS
2310674;MP       ;319;0;AF           ;AF                ;1411;23/06/2016;12:30;MC               ;HAM      ;AF           ;AF                ;1850;23/06/2016;13:20;MC               ;CPH
